shot,mid TP position[m],upper TP position[m]
39302,0.7,
39303,0.7,
39304,0.7,
39349,0.8,
39350,0.8,
39351,0.8,
39352,0.8,
39353,0.8,
39354,0.8,
39355,0.8,
39356,0.8,
39357,0.8,
39358,0.8,
39359,0.8,
39360,0.8,
39361,0.8,
39362,0.8,
39363,0.8,
39364,0.8,
39365,0.8,
39366,0.8,
39367,0.8,
39368,0.8,
39369,0.8,
39370,0.8,
39371,0.8,
39372,0.8,
39373,0.8,
39374,0.8,
39375,0.8,
39376,0.8,
39377,0.8,
39378,0.8,
39379,0.8,
39380,0.8,
39381,0.8,
39443,0.8,
39444,0.8,
39445,0.8,
39446,0.8,
39447,0.8,
39448,0.8,
39449,0.8,
39450,0.8,
39451,0.8,
39452,0.8,
39453,0.8,
39454,0.8,
39455,0.8,
39456,0.8,
39457,0.8,
39458,0.8,
39459,0.8,
39460,0.8,
39461,0.8,
39462,0.8,
39463,0.8,
39464,0.8,
39465,0.8,
39466,0.8,
39467,0.8,
39468,0.8,
39469,0.8,
39470,0.8,
39471,0.8,
39472,0.8,
39473,0.8,
39474,0.8,
39475,0.8,
39476,0.8,
39477,0.8,
39478,0.8,
39479,0.8,
39480,0.8,
39481,0.8,
39482,0.8,
39483,0.8,
39484,0.8,
39504,0.8,
39505,0.8,
39506,0.7,
39507,0.7,
39508,0.7,
39509,0.7,
39510,0.7,
39511,0.7,
39512,0.7,
39513,0.7,
39514,0.7,
39515,0.7,
39516,0.6,
39517,0.65,
39518,0.65,
39520,0.7,
39521,0.7,
39522,0.7,
39523,0.7,
39524,0.7,
39525,0.7,
39526,0.7,
39527,0.7,
39528,0.7,
39529,0.7,
39530,0.7,
39531,0.7,
39532,0.8,
39533,0.8,
39534,0.8,
39535,0.8,
39536,0.8,
39537,0.8,
39538,0.8,
39539,0.8,
39540,0.8,
39541,0.8,
39542,0.8,
39543,0.8,
39544,0.8,
39545,0.8,
39546,0.8,
39547,0.8,
39548,0.8,
39549,0.8,
39550,0.8,
39551,0.8,
39552,0.8,
39553,0.8,
39554,0.8,
39555,0.8,
39556,0.8,
39557,0.8,
39558,0.8,
39559,0.8,
39560,0.8,
39561,0.8,
39562,0.8,
39563,0.8,
39564,0.8,
39565,0.8,
39566,0.8,
39567,0.8,
39568,0.8,
39569,0.8,
39570,0.8,
39571,0.8,
39572,0.8,
39573,0.8,
39574,0.8,
39575,0.8,
39576,0.8,
39577,0.8,
39578,0.8,
39610,0.7,
39611,0.7,
39612,0.7,
39613,0.7,
39614,0.7,
39615,0.7,
39616,0.7,
39617,0.7,
39618,0.7,
39619,0.7,
39620,0.7,
39621,0.7,
39622,0.8,
39623,0.8,
39624,0.8,
39625,0.8,
39626,0.8,
39627,0.8,
39628,0.8,
39775,0.78,
39776,0.7,
39777,0.7,
39778,0.7,
39779,0.7,
39780,0.7,
39782,0.7,
39783,0.7,
39784,0.7,
39785,0.7,
39786,0.7,
39787,0.7,
39831,0.8,
39832,0.8,
39833,0.8,
39834,0.8,
39835,0.8,
39836,0.8,
39837,0.8,
39838,0.8,
39839,0.8,
39840,0.8,
39841,0.8,
39842,0.8,
39843,0.8,
39844,0.8,
39845,0.8,
39846,0.8,
39847,0.8,
39848,0.8,
39849,0.8,
39850,0.8,
39851,0.8,
39852,0.8,
39860,0.8,
39861,0.8,
39862,0.8,
39863,0.8,
39864,0.8,
