te,ratio
9.907,0.17791
12.481,0.25153
15.366,0.31595
17.932,0.3773
21.132,0.44172
24.966,0.5092
27.841,0.55828
30.71,0.59816
34.216,0.64724
38.353,0.69325
42.173,0.73926
45.988,0.77607
50.125,0.82209
54.251,0.85276
58.064,0.8865
62.827,0.92331
66.957,0.96012
73.3,0.99693
78.06,1.03067
83.771,1.06748
90.429,1.10429
98.355,1.14724
107.859,1.18712
117.363,1.22699
124.332,1.2546
133.51,1.27914
143.32,1.30368
151.23,1.32209
160.087,1.33742
170.837,1.34969
179.69,1.3589
189.172,1.36503
196.129,1.37423
203.4,1.38037
