channel,r,z,width,height,turns_with_sign,material_index
1,0.803,-0.5975,0.006,0.005,1,2
1,0.803,-0.5925,0.006,0.005,1,2
1,0.803,-0.5875,0.006,0.005,1,2
1,0.803,-0.5825,0.006,0.005,1,2
1,0.803,-0.5775,0.006,0.005,1,2
1,0.803,-0.5725,0.006,0.005,1,2
1,0.803,-0.5675,0.006,0.005,1,2
1,0.803,-0.5625,0.006,0.005,1,2
1,0.803,-0.5575,0.006,0.005,1,2
1,0.803,-0.5525,0.006,0.005,1,2
1,0.803,-0.5475,0.006,0.005,1,2
1,0.803,-0.5425,0.006,0.005,1,2
1,0.803,-0.5375,0.006,0.005,1,2
1,0.803,-0.5325,0.006,0.005,1,2
1,0.803,-0.5275,0.006,0.005,1,2
1,0.803,-0.5225,0.006,0.005,1,2
1,0.803,-0.5175,0.006,0.005,1,2
1,0.803,-0.5125,0.006,0.005,1,2
1,0.803,-0.5075,0.006,0.005,1,2
1,0.803,-0.5025,0.006,0.005,1,2
1,0.803,-0.4975,0.006,0.005,1,2
1,0.803,-0.4925,0.006,0.005,1,2
1,0.803,-0.4875,0.006,0.005,1,2
1,0.803,-0.4825,0.006,0.005,1,2
1,0.803,-0.4775,0.006,0.005,1,2
1,0.803,-0.4725,0.006,0.005,1,2
1,0.803,-0.4675,0.006,0.005,1,2
1,0.803,-0.4625,0.006,0.005,1,2
1,0.803,-0.4575,0.006,0.005,1,2
1,0.803,-0.4525,0.006,0.005,1,2
1,0.803,-0.4475,0.006,0.005,1,2
1,0.803,-0.4425,0.006,0.005,1,2
1,0.803,-0.4375,0.006,0.005,1,2
1,0.803,-0.4325,0.006,0.005,1,2
1,0.803,-0.4275,0.006,0.005,1,2
1,0.803,-0.4225,0.006,0.005,1,2
1,0.803,-0.4175,0.006,0.005,1,2
1,0.803,-0.4125,0.006,0.005,1,2
1,0.803,-0.4075,0.006,0.005,1,2
1,0.803,-0.4025,0.006,0.005,1,2
1,0.803,-0.3975,0.006,0.005,1,2
1,0.803,-0.3925,0.006,0.005,1,2
1,0.803,-0.3875,0.006,0.005,1,2
1,0.803,-0.3825,0.006,0.005,1,2
1,0.803,-0.3775,0.006,0.005,1,2
1,0.803,-0.3725,0.006,0.005,1,2
1,0.803,-0.3675,0.006,0.005,1,2
1,0.803,-0.3625,0.006,0.005,1,2
1,0.803,-0.3575,0.006,0.005,1,2
1,0.803,-0.3525,0.006,0.005,1,2
1,0.803,-0.3475,0.006,0.005,1,2
1,0.803,-0.3425,0.006,0.005,1,2
1,0.803,-0.3375,0.006,0.005,1,2
1,0.803,-0.3325,0.006,0.005,1,2
1,0.803,-0.3275,0.006,0.005,1,2
1,0.803,-0.3225,0.006,0.005,1,2
1,0.803,-0.3175,0.006,0.005,1,2
1,0.803,-0.3125,0.006,0.005,1,2
1,0.803,-0.3075,0.006,0.005,1,2
1,0.803,-0.3025,0.006,0.005,1,2
1,0.803,-0.2975,0.006,0.005,1,2
1,0.803,-0.2925,0.006,0.005,1,2
1,0.803,-0.2875,0.006,0.005,1,2
1,0.803,-0.2825,0.006,0.005,1,2
1,0.803,-0.2775,0.006,0.005,1,2
1,0.803,-0.2725,0.006,0.005,1,2
1,0.803,-0.2675,0.006,0.005,1,2
1,0.803,-0.2625,0.006,0.005,1,2
1,0.803,-0.2575,0.006,0.005,1,2
1,0.803,-0.2525,0.006,0.005,1,2
1,0.803,-0.2475,0.006,0.005,1,2
1,0.803,-0.2425,0.006,0.005,1,2
1,0.803,-0.2375,0.006,0.005,1,2
1,0.803,-0.2325,0.006,0.005,1,2
1,0.803,-0.2275,0.006,0.005,1,2
1,0.803,-0.2225,0.006,0.005,1,2
1,0.803,-0.2175,0.006,0.005,1,2
1,0.803,-0.2125,0.006,0.005,1,2
1,0.803,-0.2075,0.006,0.005,1,2
1,0.803,-0.2025,0.006,0.005,1,2
1,0.803,-0.1975,0.006,0.005,1,2
1,0.803,-0.1925,0.006,0.005,1,2
1,0.803,-0.1875,0.006,0.005,1,2
1,0.803,-0.1825,0.006,0.005,1,2
1,0.803,-0.1775,0.006,0.005,1,2
1,0.803,-0.1725,0.006,0.005,1,2
1,0.803,-0.1675,0.006,0.005,1,2
1,0.803,-0.1625,0.006,0.005,1,2
1,0.803,-0.1575,0.006,0.005,1,2
1,0.803,-0.1525,0.006,0.005,1,2
1,0.803,-0.1475,0.006,0.005,1,2
1,0.803,-0.1425,0.006,0.005,1,2
1,0.803,-0.1375,0.006,0.005,1,2
1,0.803,-0.1325,0.006,0.005,1,2
1,0.803,-0.1275,0.006,0.005,1,2
1,0.803,-0.1225,0.006,0.005,1,2
1,0.803,-0.1175,0.006,0.005,1,2
1,0.803,-0.1125,0.006,0.005,1,2
1,0.803,-0.1075,0.006,0.005,1,2
1,0.803,-0.1025,0.006,0.005,1,2
1,0.803,-0.0975,0.006,0.005,1,2
1,0.803,-0.0925,0.006,0.005,1,2
1,0.803,-0.0875,0.006,0.005,1,2
1,0.803,-0.0825,0.006,0.005,1,2
1,0.803,-0.0775,0.006,0.005,1,2
1,0.803,-0.0725,0.006,0.005,1,2
1,0.803,-0.0675,0.006,0.005,1,2
1,0.803,-0.0625,0.006,0.005,1,2
1,0.803,-0.0575,0.006,0.005,1,2
1,0.803,-0.0525,0.006,0.005,1,2
1,0.803,-0.0475,0.006,0.005,1,2
1,0.803,-0.0425,0.006,0.005,1,2
1,0.803,-0.0375,0.006,0.005,1,2
1,0.803,-0.0325,0.006,0.005,1,2
1,0.803,-0.0275,0.006,0.005,1,2
1,0.803,-0.0225,0.006,0.005,1,2
1,0.803,-0.0175,0.006,0.005,1,2
1,0.803,-0.0125,0.006,0.005,1,2
1,0.803,-0.0075,0.006,0.005,1,2
1,0.803,-0.0025,0.006,0.005,1,2
1,0.803,0.0025,0.006,0.005,1,2
1,0.803,0.0075,0.006,0.005,1,2
1,0.803,0.0125,0.006,0.005,1,2
1,0.803,0.0175,0.006,0.005,1,2
1,0.803,0.0225,0.006,0.005,1,2
1,0.803,0.0275,0.006,0.005,1,2
1,0.803,0.0325,0.006,0.005,1,2
1,0.803,0.0375,0.006,0.005,1,2
1,0.803,0.0425,0.006,0.005,1,2
1,0.803,0.0475,0.006,0.005,1,2
1,0.803,0.0525,0.006,0.005,1,2
1,0.803,0.0575,0.006,0.005,1,2
1,0.803,0.0625,0.006,0.005,1,2
1,0.803,0.0675,0.006,0.005,1,2
1,0.803,0.0725,0.006,0.005,1,2
1,0.803,0.0775,0.006,0.005,1,2
1,0.803,0.0825,0.006,0.005,1,2
1,0.803,0.0875,0.006,0.005,1,2
1,0.803,0.0925,0.006,0.005,1,2
1,0.803,0.0975,0.006,0.005,1,2
1,0.803,0.1025,0.006,0.005,1,2
1,0.803,0.1075,0.006,0.005,1,2
1,0.803,0.1125,0.006,0.005,1,2
1,0.803,0.1175,0.006,0.005,1,2
1,0.803,0.1225,0.006,0.005,1,2
1,0.803,0.1275,0.006,0.005,1,2
1,0.803,0.1325,0.006,0.005,1,2
1,0.803,0.1375,0.006,0.005,1,2
1,0.803,0.1425,0.006,0.005,1,2
1,0.803,0.1475,0.006,0.005,1,2
1,0.803,0.1525,0.006,0.005,1,2
1,0.803,0.1575,0.006,0.005,1,2
1,0.803,0.1625,0.006,0.005,1,2
1,0.803,0.1675,0.006,0.005,1,2
1,0.803,0.1725,0.006,0.005,1,2
1,0.803,0.1775,0.006,0.005,1,2
1,0.803,0.1825,0.006,0.005,1,2
1,0.803,0.1875,0.006,0.005,1,2
1,0.803,0.1925,0.006,0.005,1,2
1,0.803,0.1975,0.006,0.005,1,2
1,0.803,0.2025,0.006,0.005,1,2
1,0.803,0.2075,0.006,0.005,1,2
1,0.803,0.2125,0.006,0.005,1,2
1,0.803,0.2175,0.006,0.005,1,2
1,0.803,0.2225,0.006,0.005,1,2
1,0.803,0.2275,0.006,0.005,1,2
1,0.803,0.2325,0.006,0.005,1,2
1,0.803,0.2375,0.006,0.005,1,2
1,0.803,0.2425,0.006,0.005,1,2
1,0.803,0.2475,0.006,0.005,1,2
1,0.803,0.2525,0.006,0.005,1,2
1,0.803,0.2575,0.006,0.005,1,2
1,0.803,0.2625,0.006,0.005,1,2
1,0.803,0.2675,0.006,0.005,1,2
1,0.803,0.2725,0.006,0.005,1,2
1,0.803,0.2775,0.006,0.005,1,2
1,0.803,0.2825,0.006,0.005,1,2
1,0.803,0.2875,0.006,0.005,1,2
1,0.803,0.2925,0.006,0.005,1,2
1,0.803,0.2975,0.006,0.005,1,2
1,0.803,0.3025,0.006,0.005,1,2
1,0.803,0.3075,0.006,0.005,1,2
1,0.803,0.3125,0.006,0.005,1,2
1,0.803,0.3175,0.006,0.005,1,2
1,0.803,0.3225,0.006,0.005,1,2
1,0.803,0.3275,0.006,0.005,1,2
1,0.803,0.3325,0.006,0.005,1,2
1,0.803,0.3375,0.006,0.005,1,2
1,0.803,0.3425,0.006,0.005,1,2
1,0.803,0.3475,0.006,0.005,1,2
1,0.803,0.3525,0.006,0.005,1,2
1,0.803,0.3575,0.006,0.005,1,2
1,0.803,0.3625,0.006,0.005,1,2
1,0.803,0.3675,0.006,0.005,1,2
1,0.803,0.3725,0.006,0.005,1,2
1,0.803,0.3775,0.006,0.005,1,2
1,0.803,0.3825,0.006,0.005,1,2
1,0.803,0.3875,0.006,0.005,1,2
1,0.803,0.3925,0.006,0.005,1,2
1,0.803,0.3975,0.006,0.005,1,2
1,0.803,0.4025,0.006,0.005,1,2
1,0.803,0.4075,0.006,0.005,1,2
1,0.803,0.4125,0.006,0.005,1,2
1,0.803,0.4175,0.006,0.005,1,2
1,0.803,0.4225,0.006,0.005,1,2
1,0.803,0.4275,0.006,0.005,1,2
1,0.803,0.4325,0.006,0.005,1,2
1,0.803,0.4375,0.006,0.005,1,2
1,0.803,0.4425,0.006,0.005,1,2
1,0.803,0.4475,0.006,0.005,1,2
1,0.803,0.4525,0.006,0.005,1,2
