shot_number,phase,total_points,gfile_exists_points,effective_converged_points,gfile_existence_rate_percent,effective_convergence_rate_percent,avg_error_percent
38000,ramp-up,5,1,1,20.0,20.0,1.2749173798699566e-08
38000,ramp-down,11,6,6,54.54545454545454,54.54545454545454,3.783711686043558e-08
38027,ramp-up,5,0,0,0.0,0.0,
38027,ramp-down,1,0,0,0.0,0.0,
38028,ramp-up,7,0,0,0.0,0.0,
38028,ramp-down,2,1,1,50.0,50.0,1.6463454167659813e-07
38029,ramp-up,5,0,0,0.0,0.0,
38029,ramp-down,3,2,2,66.66666666666666,66.66666666666666,1.2503624676142447e-07
38030,ramp-up,6,1,1,16.666666666666664,16.666666666666664,9.943651557617849e-09
38030,ramp-down,2,1,1,50.0,50.0,1.119990492219019e-07
38032,ramp-up,7,0,0,0.0,0.0,
38032,ramp-down,4,3,3,75.0,75.0,9.546493508663034e-08
38036,ramp-up,6,0,0,0.0,0.0,
38036,ramp-down,3,1,1,33.33333333333333,33.33333333333333,5.380406830103743e-08
38039,ramp-up,6,0,0,0.0,0.0,
38039,ramp-down,4,1,1,25.0,25.0,3.770399281411951e-08
38041,ramp-up,6,0,0,0.0,0.0,
38041,ramp-down,4,2,2,50.0,50.0,3.3392698269651645e-08
38042,ramp-up,6,2,2,33.33333333333333,33.33333333333333,7.0579847592785366e-09
38042,ramp-down,3,2,2,66.66666666666666,66.66666666666666,3.504653244696807e-08
38044,ramp-up,1,0,0,0.0,0.0,
38045,ramp-up,5,3,3,60.0,60.0,3.314541965574437e-08
38045,ramp-down,2,1,1,50.0,50.0,6.957753076793274e-08
38052,ramp-up,8,0,0,0.0,0.0,
38052,ramp-down,9,4,4,44.44444444444444,44.44444444444444,2.620251406639811e-08
38055,ramp-up,8,1,1,12.5,12.5,2.4331114059614073e-09
38055,ramp-down,10,6,6,60.0,60.0,6.655453788659879e-08
38057,ramp-up,8,0,0,0.0,0.0,
38057,ramp-down,11,4,4,36.36363636363637,36.36363636363637,4.6374056563730615e-08
38058,ramp-up,8,0,0,0.0,0.0,
38058,ramp-down,13,9,9,69.23076923076923,69.23076923076923,4.2636147636209665e-08
38059,ramp-up,7,0,0,0.0,0.0,
38059,ramp-down,13,10,10,76.92307692307693,76.92307692307693,7.691147149627219e-08
38060,ramp-up,9,5,5,55.55555555555556,55.55555555555556,4.95328827783048e-08
38060,ramp-down,11,7,7,63.63636363636363,63.63636363636363,3.985077122141923e-08
38061,ramp-up,7,0,0,0.0,0.0,
38061,ramp-down,13,7,7,53.84615384615385,53.84615384615385,8.092890669646986e-08
38062,ramp-up,9,0,0,0.0,0.0,
38062,ramp-down,11,9,9,81.81818181818183,81.81818181818183,8.672817676568233e-08
38063,ramp-up,8,0,0,0.0,0.0,
38063,ramp-down,12,9,9,75.0,75.0,6.468337233117766e-08
38064,flat_error,38,38,38,100.0,100.0,
38064,ramp-up,20,1,1,5.0,5.0,5.509386840559352e-08
38064,ramp-down,13,6,6,46.15384615384615,46.15384615384615,3.916164765673063e-07
38065,ramp-up,8,0,0,0.0,0.0,
38065,ramp-down,13,8,8,61.53846153846154,61.53846153846154,7.19681822339436e-08
38066,flat_error,38,14,14,36.84210526315789,36.84210526315789,
38066,ramp-up,21,9,9,42.857142857142854,42.857142857142854,1.5682944683412494e-07
38066,ramp-down,12,8,8,66.66666666666666,66.66666666666666,9.433808200390358e-08
38067,flat_error,38,28,28,73.68421052631578,73.68421052631578,
38067,ramp-up,19,10,10,52.63157894736842,52.63157894736842,3.8836568404987763e-07
38067,ramp-down,14,11,11,78.57142857142857,78.57142857142857,3.086736976942513e-07
38068,flat_error,38,29,29,76.31578947368422,76.31578947368422,
38068,ramp-up,21,11,11,52.38095238095239,52.38095238095239,1.7317239671588384e-07
38068,ramp-down,12,9,9,75.0,75.0,1.6529475791890048e-07
38105,flat_error,38,0,0,0.0,0.0,
38105,ramp-up,12,0,0,0.0,0.0,
38105,ramp-down,10,0,0,0.0,0.0,
38180,ramp-up,1,0,0,0.0,0.0,
38180,ramp-down,1,0,0,0.0,0.0,
38184,ramp-up,2,1,1,50.0,50.0,4.4878963365690136e-08
38184,ramp-down,2,1,1,50.0,50.0,8.016082586594133e-08
38187,ramp-up,1,1,1,100.0,100.0,3.4344177228311385e-08
38187,ramp-down,1,0,0,0.0,0.0,
38188,ramp-up,1,1,1,100.0,100.0,4.336822755432519e-08
38188,ramp-down,1,0,0,0.0,0.0,
38189,ramp-up,1,1,1,100.0,100.0,9.17018291927601e-08
38189,ramp-down,1,0,0,0.0,0.0,
38193,ramp-up,1,1,1,100.0,100.0,4.179126481644673e-09
38193,ramp-down,1,0,0,0.0,0.0,
38194,ramp-up,1,0,0,0.0,0.0,
38194,ramp-down,1,0,0,0.0,0.0,
38195,ramp-up,1,0,0,0.0,0.0,
38195,ramp-down,2,2,2,100.0,100.0,1.4917819647255903e-07
38196,ramp-up,1,0,0,0.0,0.0,
38196,ramp-down,2,2,2,100.0,100.0,1.186929522046934e-07
38198,ramp-up,1,0,0,0.0,0.0,
38198,ramp-down,2,1,1,50.0,50.0,1.3622100978145642e-08
38200,ramp-up,1,0,0,0.0,0.0,
38200,ramp-down,2,2,2,100.0,100.0,4.140678197847108e-08
38201,ramp-up,1,0,0,0.0,0.0,
