shot_number,total_kfiles,gfile_exists_count,effective_converged_count,convergence_failures,gfile_existence_rate_percent,effective_convergence_rate_percent,max_kfile_current,max_gfile_current,avg_current_error_percent,max_current_error_percent,effective_converged_points
38000,17,7,7,0,41.17647058823529,41.17647058823529,66390.82419153572,66390.8242,3.4253124994473295e-08,5.520632101224336e-08,7
38027,7,0,0,0,0.0,0.0,78366.69668873822,,,,0
38028,10,1,1,0,10.0,10.0,75011.16484206232,53648.4164,1.6463454167659813e-07,1.6463454167659813e-07,1
38029,9,2,2,0,22.22222222222222,22.22222222222222,82817.44548583539,81166.9646,1.2503624676142447e-07,2.316271570762316e-07,2
38030,9,2,2,0,22.22222222222222,22.22222222222222,85873.35740853894,85873.3574,6.097135038975988e-08,1.119990492219019e-07,2
38032,12,3,3,0,25.0,25.0,73565.3381233596,72042.7767,9.546493508663034e-08,1.1508634655217192e-07,3
38036,10,1,1,0,10.0,10.0,103283.0490271941,73409.7267,5.380406830103743e-08,5.380406830103743e-08,1
38039,11,1,1,0,9.090909090909092,9.090909090909092,94460.09250890488,51606.7616,3.770399281411951e-08,3.770399281411951e-08,1
38041,11,2,2,0,18.181818181818183,18.181818181818183,76902.1115053041,60920.5628,3.3392698269651645e-08,5.158014715177872e-08,2
38042,10,4,4,0,40.0,40.0,59466.0541991839,59466.0542,2.1052258603123304e-08,3.7672769082748546e-08,4
38044,2,0,0,0,0.0,0.0,19379.530585848686,,,,0
38045,8,4,4,0,50.0,50.0,57719.58936151998,57719.5894,4.225344743379146e-08,6.957753076793274e-08,4
38052,18,4,4,0,22.22222222222222,22.22222222222222,97284.30583369837,88187.8097,2.620251406639811e-08,6.759840467201203e-08,4
38055,19,7,7,0,36.84210526315789,36.84210526315789,78522.31909808946,78522.3191,5.739433410365059e-08,1.0324052928787594e-07,7
38057,20,4,4,0,20.0,20.0,93768.75651952096,88522.3726,4.6374056563730615e-08,1.1235669464203675e-07,4
38058,22,9,9,0,40.909090909090914,40.909090909090914,87664.51627001051,85102.4369,4.2636147636209665e-08,1.022934716213247e-07,9
38059,21,10,10,0,47.61904761904761,47.61904761904761,81003.7053165485,80689.8789,7.691147149627219e-08,1.8229540108279038e-07,10
38060,21,12,12,0,57.14285714285714,57.14285714285714,59960.61577325688,59960.6158,4.388498437012154e-08,1.1023559071833189e-07,12
38061,21,7,7,0,33.33333333333333,33.33333333333333,78001.21407006173,77043.3666,8.092890669646986e-08,9.990302214585189e-08,7
38062,21,9,9,0,42.857142857142854,42.857142857142854,95533.23793309536,93141.7075,8.672817676568233e-08,1.739918534172575e-07,9
38063,21,9,9,0,42.857142857142854,42.857142857142854,96812.71849558974,93176.6587,6.468337233117766e-08,1.5831875068475477e-07,9
38064,72,45,45,0,62.5,62.5,94459.20890091782,85434.1232,4.374549733471037e-07,7.556526602124958e-07,45
38065,22,8,8,0,36.36363636363637,36.36363636363637,101822.83847197807,97393.4662,7.19681822339436e-08,1.3650563619324148e-07,8
38066,72,31,31,0,43.05555555555556,43.05555555555556,101757.79552848164,100707.724,8.695349628801804e-08,2.80026025796101e-07,31
38067,72,50,50,0,69.44444444444444,69.44444444444444,99637.53012046294,95813.6995,3.069752113529038e-07,6.390809402514973e-07,50
38068,72,50,50,0,69.44444444444444,69.44444444444444,101731.1354595621,97741.7835,1.666398597492121e-07,4.88974003087115e-07,50
38105,61,0,0,0,0.0,0.0,16777.92309798226,,,,0
38180,3,0,0,0,0.0,0.0,30263.60517907492,,,,0
38184,5,2,2,0,40.0,40.0,39848.574482116375,39848.5745,6.251989461581574e-08,8.016082586594133e-08,2
38187,3,1,1,0,33.33333333333333,33.33333333333333,21724.17410746099,21724.1741,3.4344177228311385e-08,3.4344177228311385e-08,1
38188,3,1,1,0,33.33333333333333,33.33333333333333,24817.305910762825,24817.3059,4.336822755432519e-08,4.336822755432519e-08,1
38189,3,1,1,0,33.33333333333333,33.33333333333333,27259.442375002596,27259.4424,9.17018291927601e-08,9.17018291927601e-08,1
38193,3,1,1,0,33.33333333333333,33.33333333333333,33463.16899860153,33463.169,4.179126481644673e-09,4.179126481644673e-09,1
38194,3,0,0,0,0.0,0.0,36016.64389803322,,,,0
38195,4,2,2,0,50.0,50.0,42126.2474443754,37621.4969,1.4917819647255903e-07,1.6094928594758504e-07,2
38196,4,2,2,0,50.0,50.0,40910.47976051892,37940.8953,1.186929522046934e-07,2.2037464133264867e-07,2
38198,4,1,1,0,25.0,25.0,40575.83928196721,37438.8028,1.3622100978145642e-08,1.3622100978145642e-08,1
